season,team,playoffs,total_points,field_goals_percent,three_points_percent,two_points_percent,free_throw_percent,total_rebound,assist,steal,block,turnover,personal_foul
2018,SAC,0,8104,0.45,0.375,0.479,0.735,3355,1768,643,340,1125,1639
2018,SAS,1,8424,0.457,0.352,0.499,0.772,3626,1868,628,460,1078,1408
2018,TOR,1,9156,0.472,0.358,0.541,0.794,3607,1995,626,500,1095,1783
2018,UTA,1,8540,0.462,0.366,0.515,0.779,3547,1839,708,420,1205,1608
2018,WAS,1,8742,0.467,0.375,0.508,0.772,3536,2065,645,353,1196,1746
2017,ATL,1,8459,0.451,0.341,0.501,0.728,3635,1938,672,397,1294,1491
2017,BOS,1,8857,0.454,0.359,0.515,0.807,3442,2069,617,340,1088,1686
2017,BRK,0,8673,0.444,0.338,0.506,0.788,3600,1756,593,387,1356,1726
2017,CHI,1,8435,0.444,0.34,0.479,0.798,3796,1851,643,393,1112,1455
2017,CHO,0,8601,0.442,0.351,0.488,0.815,3574,1891,571,390,942,1360
2017,CLE,1,9048,0.47,0.384,0.528,0.748,3587,1858,539,327,1121,1486
2017,DAL,0,8029,0.44,0.355,0.489,0.801,3163,1705,614,307,972,1567
2017,DEN,0,9161,0.469,0.368,0.519,0.774,3803,2077,568,323,1226,1567
2017,DET,0,8309,0.449,0.33,0.492,0.719,3746,1732,574,310,973,1467
2017,GSW,1,9503,0.495,0.383,0.557,0.788,3643,2491,785,555,1211,1585
2017,HOU,1,9458,0.462,0.357,0.552,0.766,3638,2070,670,352,1240,1634
2017,IND,1,8618,0.465,0.376,0.498,0.81,3444,1844,669,409,1130,1597
2017,LAC,1,8911,0.475,0.375,0.525,0.745,3528,1848,612,347,1062,1626
2017,LAL,0,8575,0.45,0.346,0.493,0.754,3569,1716,674,320,1243,1698
2017,MEM,1,8239,0.435,0.354,0.473,0.784,3507,1744,653,344,1059,1840
2017,MIA,0,8460,0.455,0.365,0.496,0.706,3577,1742,588,469,1102,1680
2017,MIL,1,8497,0.474,0.37,0.516,0.768,3312,1984,666,436,1145,1660
2017,MIN,0,8657,0.467,0.349,0.507,0.799,3478,1940,654,370,1150,1646
2017,NOP,0,8556,0.45,0.35,0.495,0.75,3582,1869,638,453,1054,1490
2017,NYK,0,8556,0.447,0.348,0.485,0.788,3706,1786,581,455,1139,1668
2017,OKC,1,8741,0.452,0.327,0.504,0.745,3823,1721,648,408,1230,1715
2017,ORL,0,8288,0.44,0.328,0.488,0.747,3541,1820,580,396,1091,1584
2017,PHI,0,8400,0.442,0.34,0.496,0.771,3513,1949,692,420,1366,1793
2017,PHO,0,8831,0.45,0.332,0.491,0.776,3688,1604,673,399,1265,2030
2017,POR,1,8851,0.459,0.375,0.499,0.78,3580,1733,574,408,1126,1736
2017,SAC,0,8430,0.461,0.376,0.496,0.775,3367,1844,627,324,1201,1667
2017,SAS,1,8637,0.469,0.391,0.5,0.797,3598,1954,655,484,1101,1498
2017,TOR,1,8762,0.464,0.363,0.505,0.796,3547,1517,677,400,1041,1708
2017,UTA,1,8258,0.466,0.372,0.511,0.747,3545,1651,550,410,1118,1545
